Name,Taxon name,Taxon type,Taxon ID,Group,Order,Family_Scientific,Family_English,Subspecies,Authority,Breeding Range,Breeding Range-Subregion,Nonbreeding Range,Code,Comment
Lesser Green Leafbird,Chloropsis cyanopogon,Species,,Avifauna,Passeriformes,Chloropseidae,Leafbirds,,"(Temminck, 1830)",OR,Myanmar to Sumatra and Borneo,,,
Lesser Mouse Deer,Tragulus kanchil,Species,,NA,,,,,,,,,,
Little Green Pigeon,Treron olax,Species,,Avifauna,,,,,,,,,,
Little Spiderhunter,Arachnothera longirostra,Species,,Avifauna,Passeriformes,Nectariniidae,Sunbirds,,"(Latham, 1790)",OR,widespread,,,
Little Spiderhunter? Or Sunbird?,Nectariniidae,Family,,Avifauna,,,,,,,,,,
Lonchura,Lonchura,Genus,,Avifauna,,,,,,,,,,
Long-fingered Slender Toad,Ansonia longidigita,Species,,Herpetofauna,,,,,,,,,,
Long-tailed Parakeet,Psittacula longicauda,Species,,Avifauna,,,,,,,,,,
Lowland Litter Frog,Leptobrachium abbotti,Species,,Herpetofauna,Anura,Megophryidae,Litter Frogs,,"(Cochran, 1926)",NA,"Borneo, Sumatra",,,
Macaque,Simia inuus,Species,,NA,Squamata,,,,NA,NA,,,,
Malacopteron,Malacopteron,Genus,,Avifauna,,,,,,,,,,
Malay Civet,Viverra tangalunga,Species,,NA,,,,,,,,,,
Malaysian Hawk-cuckoo,Hierococcyx fugax,Species,,Avifauna,,,,,,,,,,
Malaysian Pied Fantail,Rhipidura javanica,Species,,Avifauna,Passeriformes,Rhipiduridae,Fantails,,"(Sparrman, 1788)",OR,"Southeast Asia, Sumatra",,,
Malkoha,Phaenicophaeus,Genus,,Avifauna,,,,,,,,,,
Maroon Woodpecker,Blythipicus rubiginosus,Species,,Avifauna,Piciformes,Picidae,Woodpeckers,,"(Swainson, 1837)",OR,"Malay Peninsula, Sumatra, Borneo",,,
Maroon-breasted Philentoma,Philentoma velata,Species,,Avifauna,Passeriformes,Tephrodornithidae,Woodshrikes and allies,,"(Temminck, 1825)",OR,Myanmar to Java and Borneo,,,
Microhyla,Microhyla,Genus,,Herpetofauna,,,,,,,,,,
Monarchidae,Monarchidae,Family,,Avifauna,,,,,,,,,,
Montane Torent Frog,Meristogenys amoropalamus,Species,,Herpetofauna,,,,,,,,,,
Mouse Deer,Tragulus javanicus,Species,,NA,Squamata,,,,NA,NA,,,,
Moustached Babbler,Malacopteron magnirostre,Species,,Avifauna,Passeriformes,Pellorneidae,"Fulvettas, Ground Babblers",,"(Moore, F, 1854)",OR,"Malay Peninsula, Sumatra, Borneo",,,
Moustached Hawk-cuckoo,Hierococcyx vagans,Species,,Avifauna,,,,,,,,,,
Munia,Lonchura punctulata,Species,,Avifauna,,,,,,,,,,
Narcissus Flycatcher,Ficedula narcissina,Species,,Avifauna,Passeriformes,Muscicapidae,"Chats, Old World Flycatchers",,"(Temminck, 1836)",EU,e,Southeast Asia through Java,,
Narrow-mouthed Frog,Microhyla,Genus,,Herpetofauna,Anura,Microhylidae,Narrow-mouthed Frogs,,NA,NA,,,,
Nightjar,Caprimulgidae,Family,,Avifauna,,,,,,,,,,
Northern Torrent Frog,Meristogenys orphnocnemis,Species,,Herpetofauna,Anura,Ranidae,True Frogs,,"(Matsui, 1986)",Endemic,Northern Borneo,,,
Olive-backed Sunbird,Cinnyris jugularis,Species,,Avifauna,,,,,,,,,,
Olive-backed Woodpecker,Dinopium rafflesii,Species,,Avifauna,,,,,,,,,,
Olive-winged Bulbul,Pycnonotus plumosus,Species,,Avifauna,Passeriformes,Pycnonotidae,Bulbuls,,"(Blyth, 1845)",OR,"s Myanmar and s Thailand, peninsular Malaysia, Greater Sundas",,,
Orange-backed Woodpecker,Reinwardtipicus validus,Species,,Avifauna,Piciformes,Picidae,Woodpeckers,,"(Temminck, 1825)",OR,"Malay Peninsula, Greater Sundas",,,
Orange-bellied Flowerpecker,Dicaeum trigonostigma,Species,,Avifauna,Passeriformes,Dicaeidae,Flowerpeckers,,"(Scopoli, 1786)",OR,Bangladesh to Borneo and Philippines,,,
Oriental Bay Owl,Phodilus badius,Species,,Avifauna,Strigiformes,Tytonidae,Barn Owls,,"(Horsfield, 1821)",NA,,,,
Oriental Dwarf Kingfisher,Ceyx erithaca,Species,,Avifauna,Coraciiformes,Alcedinidae,Kingfishers,,"(Linnaeus, 1758)",OR,widespread,,PS,"Rufous-backed morphs sometimes treated as separate species C. rufidorsa (King 1997, Rasmussen & Anderton 2005, Lim et al. 2010) suggest past episodes of secondary contact and introgression. Revisit status of rufidorsa."
Oriental Magpie Robin,Copsychus saularis,Species,,Avifauna,,,,,,,,,,
Ornate Earless Agama,Aphaniotis ornata,Species,,Herpetofauna,Squamata,Agamidae,Agamas,,NA,NA,,,,
Orthotomus,Orthotomus,Genus,,Avifauna,,,,,,,,,,
Pacific Swallow,Hirundo tahitica,Species,,Avifauna,Passeriformes,Hirundinidae,"Swallows, Martins",,"Gmelin, JF, 1789","OR, AU",se Asia to New Guinea and Society Islands,,,
Pericrocotus,Pericrocotus,Genus,,Avifauna,,,,,,,,,,
Peters Bent Toed Gecko,Cyrtodactylus consobrinus,Species,,Herpetofauna,Squamata,Gekkonidae,Geckos,,NA,NA,,,,
Phew-bird,Trichastoma bicolor,Species,,Avifauna,,,,,,,,,,
Phylloscopus,Phylloscopus,Genus,,Avifauna,,,,,,,,,,
