field_type,ID,ID,Location,Date,Time,Comments,Numeric,Numeric,Comments
description,Point count location,Audio file ID,Location in the SAFE landscape,Date of recording,Time of recording,Weather conditions of recording,Research assistant,Research assistant,Notes
units,,,,dd/mm/yy,hh:mm:ss,,Binary,Binary,
method,,,,,,Observation,Research assistant,Research assistant,
field_name,Point_count_ID,Audio_file,Site,Date,Time,Weather,Adi_Syamin,Jani,Notes
169,18_04_26_2,PC0000_0173,D Matrix,4/26/2018,04:00:00 AM,dark,0,1,NA
170,18_04_26_3,PC0000_0175,D Matrix,4/26/2018,05:00:00 AM,dark,0,1,NA
171,18_04_26_4,PC0000_0176,D Matrix,4/26/2018,06:00:00 AM,dawn,0,1,NA
172,18_04_26_5,PC0000_0177,D Matrix,4/26/2018,07:00:00 AM,clouded,0,1,NA
173,18_04_26_6,PC0000_0178,D Matrix,4/26/2018,08:00:00 AM,clouded,0,1,NA
174,18_04_27_1,PC0000_0179,E1 648,4/27/2018,04:00:00 AM,dark,0,1,First hour missed because slept through alarm
175,18_04_27_2,PC0000_0180,E1 648,4/27/2018,05:00:00 AM,dark,0,1,NA
176,18_04_27_3,PC0000_0181,E1 648,4/27/2018,06:00:00 AM,dawn,0,1,NA
177,18_04_27_4,PC0000_0182,E1 648,4/27/2018,07:00:00 AM,sun,0,1,NA
178,18_04_27_5,PC0000_0183,E1 648,4/27/2018,08:00:00 AM,sun,0,1,NA
179,18_04_28_1,PC0000_0184,B10,4/27/2018,03:00:00 AM,dark,0,1,NA
180,18_04_28_2,PC0000_0185,B10,4/28/2018,04:00:00 AM,dark,0,1,NA
181,18_04_28_3,PC0000_0186,B10,4/28/2018,05:00:00 AM,dark,0,1,NA
182,18_04_28_4,PC0000_0187,B10,4/28/2018,06:00:00 AM,dawn,0,1,NA
183,18_04_28_5,PC0000_0188,B10,4/28/2018,07:00:00 AM,sun,0,1,NA
184,18_04_28_6,PC0000_0189,B10,4/28/2018,08:00:00 AM,sun,0,1,NA
185,18_05_04_1,PC0000_0190,VJR 2,5/4/2018,12:00:00 AM,dark,1,1,NA
186,18_05_04_2,PC0000_0191,VJR 2,5/4/2018,01:00:00 AM,dark,1,1,NA
187,18_05_04_3,PC0000_0192,VJR 2,5/4/2018,02:00:00 AM,dark,1,1,NA
188,18_05_04_4,PC0000_0193,VJR 2,5/4/2018,03:00:00 AM,dark,1,1,NA
189,18_05_04_5,PC0000_0194,VJR 2,5/4/2018,04:00:00 AM,dark,1,1,NA
190,18_05_04_6,PC0000_0195,VJR 2,5/4/2018,05:00:00 AM,dark,1,1,NA
191,18_05_05_1,PC0000_0196,VJR 1,5/4/2018,11:00:00 PM,dark,1,1,NA
192,18_05_05_2,PC0000_0197,VJR 1,5/5/2018,12:00:00 AM,dark,1,1,NA
193,18_05_05_3,PC0000_0198,VJR 1,5/5/2018,01:00:00 AM,dark,1,1,NA
194,18_05_05_4,PC0000_0199,VJR 1,5/5/2018,02:00:00 AM,dark,1,1,NA
